x_value,channel_1,channel_2,channel_3
0,0,0,0
1,5350,"569
",
2,0560,0552,"0549
"
3,0536,0559,"0553
"
4,0534,0565,"0564
"
5,0552,0552,"0546
"
6,0526,0544,"0525
"
7,0527,0546,"0521
"
8,0522,0537,"0549
"
9,0524,0541,"0566
"
10,0551,0546,"0536
"
11,0551,0541,"0563
"
12,0556,0550,"0545
"
13,0527,0544,"0524
"
14,0526,0543,"0560
"
15,0543,0577,"0545
"
16,0523,0548,"0527
"
17,0530,0554,"0537
"
18,0547,0540,"0557
"
19,0543,0574,"0584
"
20,0544,0541,"0577
"
21,0527,0547,"0545
"
22,0517,0527,"0543
"
23,0551,0538,"0563
"
24,0556,0547,"0539
"
25,0558,0551,"0539
"
26,0562,0561,"0552
"
27,0542,0578,"0541
"
28,0560,0568,"0561
"
29,0555,0560,"0555
"
30,0543,0579,"0545
"
31,0524,0551,"0536
"
32,0542,0575,"0576
"
33,0531,0570,"0577
"
34,0525,0555,"0556
"
35,0532,0559,"0557
"
36,0539,0573,"0581
"
37,0537,0575,"0592
"
38,0554,0560,"0567
"
39,0561,0562,"0565
"
40,0562,0566,"0573
"
41,0575,0592,"0574
"
42,0582,0564,"0568
"
43,0572,0585,"0559
"
44,0559,0569,"0571
"
45,0570,0584,"0555
"
46,0550,0553,"0542
"
47,0561,0562,"0556
"
48,0548,0542,"0568
"
49,0561,0561,"0564
"
50,0561,0562,"0565
"
51,0563,0569,"0576
"
52,0536,0569,"0579
"
53,0532,0566,"0577
"
54,0526,0553,"0554
"
55,0529,0553,"0543
"
56,0556,0553,"0541
"
57,0563,0565,"0560
"
58,0556,0559,"0557
"
59,0546,0536,"0559
"
60,0547,0533,"0558
"
61,0545,0526,"0546
"
62,0525,0533,"0556
"
63,0536,0558,"0557
"
64,0541,0574,"0582
"
65,0540,0581,"0554
"
66,0536,0573,"0580
"
67,0533,0570,"0581
"
68,0534,0570,"0584
"
69,0536,0571,"0586
"
70,0542,0583,"0563
"
71,0552,0556,"0550
"
72,0533,0561,"0556
"
73,0537,0570,"0575
"
74,0570,0586,"0561
"
75,0559,0569,"0573
"
76,0573,0590,"0571
"
77,0576,0552,"0544
"
78,0530,0551,"0538
"
79,0550,0542,"0563
"
80,0557,0554,"0551
"
81,0539,0567,"0568
"
82,0560,0566,"0572
"
83,0571,0585,"0560
"
84,0557,0565,"0565
"
85,0561,0567,"0573
"
86,0575,0592,"0576
"
87,0540,0583,"0557
"
88,0543,0588,"0558
"
89,0545,0548,"0533
"
90,0545,0532,"0545
"
91,0523,0536,"0556
"
92,0534,0558,"0555
"
93,0537,0568,"0569
"
94,0560,0567,"0574
"
95,0576,0547,"0541
"
96,0567,0567,"0568
"
97,0571,0585,"0556
"
98,0551,0556,"0548
"
99,0530,0555,"0543
"
100,0556,0552,"0537
"
101,0555,0550,"0532
"
102,0550,0542,"0560
"
103,0550,0542,"0572
"
104,0567,0570,"0583
"
105,0552,0550,"0550
"
106,0532,0553,"0543
"
107,0559,0559,"0551
"
108,0539,0571,"0573
"
109,0568,0581,"0552
"
110,0540,0578,"0540
"
111,0556,0562,"0550
"
112,0536,0567,"0567
"
113,0558,0565,"0569
"
