x_value,channel_1,channel_2,channel_3
0,0,0,0
1,629,1023,793
2,648,1023,776
3,619,1023,755
4,644,1023,751
5,656,1022,761
6,662,1023,767
7,657,1022,767
8,644,1022,773
9,610,1023,792
10,642,1023,788
11,643,1023,769
12,607,1023,750
13,638,1023,756
14,661,1022,763
15,661,1023,768
16,592,1023,770
17,578,1023,782
18,614,1022,792
19,641,1023,782
20,631,1022,759
21,650,1023,748
22,648,1023,760
23,664,1023,767
24,663,1022,767
25,646,1022,769
26,597,1023,787
27,631,1023,792
28,646,1023,776
29,618,1022,752
30,637,1022,748
31,647,1022,760
32,657,1023,767
33,655,1023,770
34,590,1022,774
35,599,1023,792
36,638,1023,788
37,642,1023,769
38,607,1023,750
39,638,1022,753
40,655,1023,764
41,661,1023,768
42,592,1022,767
43,632,1022,778
44,617,1023,794
45,648,1023,783
46,635,1023,763
47,657,1022,746
48,646,1023,759
49,666,1023,766
50,662,1023,769
51,590,1023,771
52,588,1023,787
53,628,1022,791
54,646,1023,776
55,618,1023,756
56,644,1023,750
57,653,1022,760
58,660,1023,767
59,658,1023,770
60,591,1022,773
61,596,1022,788
62,631,1022,786
63,636,1022,767
64,659,1023,749
65,646,1023,755
66,664,1023,765
67,668,1023,769
68,598,1023,770
69,579,1023,780
70,609,1023,794
71,645,1023,784
72,634,1022,762
73,652,1023,748
74,647,1023,759
75,667,1023,766
76,665,1023,770
77,593,1023,770
78,585,1023,786
79,624,1023,794
80,648,1023,779
81,627,1023,758
82,649,1023,749
83,652,1023,762
84,666,1023,768
85,603,1022,768
86,573,1023,774
87,592,1023,790
88,634,1023,790
89,645,1022,770
90,607,1023,751
91,638,1022,751
92,654,1023,764
93,663,1023,768
94,595,1023,770
95,578,1023,779
96,606,1022,792
97,640,1023,785
98,636,1023,765
99,658,1023,750
100,653,1023,758
101,666,1023,766
102,665,1022,767
103,647,1023,769
104,594,1023,785
105,625,1023,794
106,650,1023,779
107,627,1022,755
108,644,1023,748
109,648,1023,762
110,665,1023,767
111,660,1022,767
112,645,1022,771
113,604,1022,787
114,633,1023,789
115,644,1022,769
116,606,1022,747
117,629,1022,750
118,648,1023,764
119,662,1023,768
120,595,1023,770
121,577,1023,778
122,603,1022,791
123,640,1023,785
124,636,1023,766
125,660,1022,747
126,646,1022,754
127,657,1023,765
128,662,1023,769
129,592,1023,770
130,582,1023,784
131,618,1023,794
132,647,1023,780
133,627,1023,760
134,649,1023,750
135,654,1023,761
136,666,1023,767
137,663,1023,770
138,593,1022,771
139,591,1023,788
140,630,1023,791
141,647,1022,772
142,612,1022,750
143,634,1022,749
144,648,1022,760
145,655,1023,767
146,653,1023,770
147,590,1022,775
148,603,1023,793
149,642,1023,786
150,639,1022,765
151,658,1023,749
152,649,1023,757
153,666,1023,766
154,667,1022,766
155,647,1023,769
156,592,1022,780
157,613,1022,791
158,643,1022,778
159,622,1023,760
160,647,1023,749
161,651,1023,761
162,666,1023,768
163,604,1023,770
164,579,1023,773
165,590,1023,790
166,634,1023,792
167,646,1023,775
168,619,1023,754
169,643,1023,752
170,656,1023,764
171,667,1023,768
172,599,1023,770
173,578,1023,778
174,602,1023,794
175,643,1022,784
176,634,1023,767
177,661,1022,747
178,645,1023,756
179,663,1023,765
180,665,1023,769
181,595,1023,770
182,581,1022,779
183,609,1023,794
184,645,1023,783
185,634,1023,763
186,657,1022,747
187,648,1023,759
188,665,1022,764
189,656,1023,769
190,589,1023,772
191,590,1023,788
192,629,1022,790
193,644,1023,775
194,619,1022,752
195,636,1023,750
196,651,1023,763
197,666,1022,765
198,653,1022,767
199,644,1023,776
200,613,1023,792
201,643,1023,788
202,644,1022,767
203,662,1023,750
204,651,1023,756
205,665,1023,765
206,667,1023,769
207,597,1022,767
208,633,1022,777
209,616,1023,793
210,646,1023,783
211,635,1023,763
212,656,1022,747
213,648,1023,759
214,666,1022,764
215,658,1023,769
216,589,1023,771
217,588,1022,785
218,623,1023,793
219,646,1022,774
220,617,1022,753
221,638,1023,749
222,649,1023,763
223,667,1023,768
224,601,1022,768
225,573,1023,775
226,596,1022,789
227,633,1023,788
228,640,1022,767
229,661,1022,747
230,643,1023,754
231,660,1023,765
232,666,1022,766
233,649,1023,769
234,589,1023,780
235,613,1022,792
236,641,1022,781
237,629,1022,760
238,647,1023,748
239,647,1023,759
240,666,1022,764
241,658,1023,769
242,589,1023,771
243,588,1023,787
244,628,1022,791
245,646,1022,774
246,617,1022,753
247,637,1022,746
248,643,1022,759
249,659,1023,766
250,655,1023,770
251,590,1022,772
252,593,1023,791
253,638,1023,789
254,645,1022,768
255,603,1022,747
256,630,1023,754
257,655,1023,765
258,665,1022,766
259,649,1023,770
260,590,1022,777
261,607,1023,793
262,643,1022,781
263,630,1023,763
264,654,1022,746
265,644,1022,756
266,658,1023,765
267,660,1023,769
268,590,1023,771
269,588,1022,784
270,620,1023,793
271,645,1022,775
272,620,1023,757
273,646,1023,749
274,651,1022,760
275,660,1023,767
276,659,1023,770
277,591,1022,772
278,593,1023,790
279,635,1022,787
280,640,1023,770
281,607,1023,751
282,639,1023,755
283,661,1023,765
284,667,1023,768
285,595,1023,770
286,578,1023,780
287,608,1022,792
288,640,1023,784
289,633,1023,764
290,656,1023,749
291,651,1022,757
292,663,1022,763
293,657,1022,766
294,642,1022,767
295,649,1022,782
296,632,1022,790
297,646,1023,778
298,624,1022,755
299,643,1023,749
300,651,1023,762
301,666,1022,765
302,656,1023,769
303,588,1022,772
304,592,1022,787
305,629,1023,789
306,642,1023,772
307,611,1022,748
308,632,1023,754
309,657,1023,765
310,667,1023,769
311,599,1023,770
312,578,1023,779
313,607,1023,794
314,645,1023,785
315,638,1023,766
